"","look","sum","output"
"691","found",197,"guilty"
"692","fountain",69,"parks"
"693","four",1011,"years"
"694","fourth",369,"quarter"
"695","fox",155,"news"
"696","france",101,"s"
"697","franchise",102,"history"
"698","francis",131,"howell"
"699","francisco",169,"s"
"700","frank",84,"russo"
"701","franklin",81,"township"
"702","freddie",135,"mac"
"703","free",267,"agent"
"704","french",72,"toast"
"705","freshman",75,"year"
"706","friday",655,"night"
"707","fried",86,"chicken"
"708","friend",150,"s"
"709","friends",211,"family"
"710","front",17625,"just"
"711","fruits",97,"vegetables"
"712","fuel",97,"economy"
"713","full",121,"time"
"714","fun",81,"watch"
"715","fund",61,"s"
"716","funeral",203,"home"
"717","funny",67,"thing"
"718","future",73,"will"
"719","g",206,"fat"
"720","game",17622,"offense"
"721","games",132,"last"
"722","gang",69,"members"
"723","garage",17611,"dust"
"724","garden",190,"state"
"725","gas",295,"prices"
"726","gasoline",91,"prices"
"727","gate",79,"bridge"
"728","gave",96,"us"
"729","gay",355,"marriage"
"730","gays",74,"lesbians"
"731","general",753,"manager"
"732","george",191,"w"
"733","gerald",119,"wallace"
"734","germany",76,"s"
"735","get",799,"back"
"736","gets",89,"better"
"737","getting",557,"ready"
"738","gift",155,"card"
"739","gingrich",68,"s"
"740","girardi",71,"said"
"741","girl",138,"s"
"742","give",17632,"anything"
"743","gives",136,"us"
"744","giving",140,"away"
"745","glad",167,"hear"
"746","glass",84,"wine"
"747","global",173,"warming"
"748","gloucester",156,"county"
"749","gm",91,"s"
"750","go",17633,"bathroom"
"751","goal",89,"get"
"752","goals",65,"assists"
"753","goat",92,"cheese"
"754","god",272,"bless"
"755","goes",100,"back"
"756","going",593,"get"
"757","gold",77,"medal"
"758","golden",186,"gate"
"759","goldman",82,"sachs"
"760","golf",187,"course"
"761","gonna",203,"get"
"762","good",17827,"times"
"763","goods",82,"services"
"764","google",109,"s"
"765","gop",89,"presidential"
"766","got",17725,"go"
"767","gotta",186,"love"
"768","gov",405,"chris"
"769","governing",79,"body"
"770","government",351,"s"
"771","governor",287,"s"
"772","governors",66,"office"
"773","grad",87,"school"
"774","grade",89,"teacher"
"775","graduation",74,"rates"
"776","grammy",73,"awards"
"777","grand",268,"jury"
"778","grandma",65,"s"
"779","grandmother",91,"s"
"780","granite",257,"city"
"781","granny",17610,"old"
"782","graphic",69,"design"
"783","grateful",17614,"good"
"784","great",619,"day"
"785","greater",142,"cleveland"
"786","greece",80,"s"
"787","green",213,"bay"
"788","greenhouse",73,"gas"
"789","greg",80,"oden"
"790","gregg",74,"williams"
"791","grew",67,"percent"
"792","grey",62,"s"
"793","grilled",94,"cheese"
"794","groceries",17614,"hand"
"795","grocery",215,"store"
"796","gross",103,"domestic"
"797","ground",73,"beef"
"798","group",350,"s"
"799","growing",102,"number"
"800","growth",67,"hormone"
"801","gubernatorial",79,"candidate"
"802","guess",81,"just"
"803","guilty",71,"plea"
"804","gulf",83,"coast"
"805","guy",17622,"front"
"806","guys",136,"like"
"807","ha",233,"ha"
"808","haha",86,"love"
"809","hair",17609,"eyes"
"810","half",115,"hour"
"811","hall",430,"fame"
"812","hand",394,"thanks"
"813","happen",67,"said"
"814","happened",62,"said"
"815","happiest",432,"thanks"
"816","happy",1281,"birthday"
"817","hard",414,"work"
"818","hardest",64,"thing"
"819","harford",75,"county"
"820","harrah",71,"s"
